phosphor	compound.n.02,synthetic.n.01
Horne	mezzo-soprano.n.01,musician.n.01,soprano.n.01,singer.n.01
Horne	actress.n.01,actor.n.01
yard_donkey	lifting_device.n.01,winch.n.01
Brahe	astronomer.n.01,physicist.n.01
flagging	group.n.01,collection.n.01
flagging	walk.n.05,path.n.02
Psittacus_erithacus	parrot.n.01,bird.n.01
Lake_Albert	body_of_water.n.01,lake.n.01
eigenvalue_of_a_matrix	numerical_quantity.n.01,value.n.01
Chasidism	judaism.n.02,orthodox_judaism.n.02
TiB	computer_memory_unit.n.01,unit_of_measurement.n.01
gambist	musician.n.01,performer.n.01
RFD	communication.n.01,mail.n.02
Mayas	ethnic_group.n.01,ethnic_minority.n.01
Mayas	indian.n.01,amerindian.n.01
Mayas	natural_language.n.01,amerind.n.01
78	large_integer.n.01,integer.n.01
78	phonograph_record.n.01,sound_recording.n.01
half_pound	avoirdupois_unit.n.01,mass_unit.n.01
arity	definite_quantity.n.01,number.n.02
reverberatory_furnace	chamber.n.01,furnace.n.01
proteosome_vaccine	immunogen.n.01,vaccine.n.01
associateship	occupation.n.01,position.n.06
embryologist	doctor.n.01,specialist.n.02
dolichocephalism	quality.n.01,attribute.n.02
St._Cyril	teacher.n.01,missionary.n.01
posturer	causal_agent.n.01,person.n.01,organism.n.01
combustibleness	quality.n.01,attribute.n.02
lentisk	woody_plant.n.01,shrub.n.01
Petronas_Towers	building.n.01,skyscraper.n.01
Holy_Grail	chalice.n.01,cup.n.01
venerableness	righteousness.n.01,honorableness.n.01
wind_bell	decoration.n.01,artifact.n.01
B	eubacteria.n.01,moneran.n.01,bacteria.n.01
B	water-soluble_vitamin.n.01,vitamin.n.01
B	substance.n.01,chemical_element.n.01
B	sound_unit.n.01,area_unit.n.01,unit_of_measurement.n.01
B	letter.n.02,character.n.08
B	blood.n.01,blood_group.n.01
polychrome	work.n.02,product.n.02
swoosh	sound.n.04,noise.n.01
SPF	degree.n.01,property.n.02
Baykal	body_of_water.n.01,lake.n.01
clunking	happening.n.01,sound.n.04
Grigori_Aleksandrovich_Potemkin	serviceman.n.01,military_officer.n.01
Grigori_Aleksandrovich_Potemkin	leader.n.01,politician.n.02
Dominican	religious.n.01,friar.n.01
Dominican	american.n.03,west_indian.n.01
Cyril	teacher.n.01,missionary.n.01
Nanna	forebear.n.01,grandparent.n.01
Nanna	semitic_deity.n.01,deity.n.01,norse_deity.n.01
Giovanni_Francesco_Albani	pope.n.01,catholic.n.01,spiritual_leader.n.01
profiterole	pastry.n.02,baked_goods.n.01
puffery	flattery.n.01,compliment.n.01
used-car	car.n.01,motor_vehicle.n.01
Alexandrian	resident.n.01,inhabitant.n.01
pop-up_book	book.n.01,publication.n.01
Romany	asian.n.01,indian.n.02
Romany	sanskrit.n.01,indic.n.01
esprit_de_l'escalier	message.n.02,wit.n.01
bling	adornment.n.01,jewelry.n.01
Benedetto_Caetani	pope.n.01,catholic.n.01,spiritual_leader.n.01
Photius	patriarch.n.01,spiritual_leader.n.01
kurus	turkish_monetary_unit.n.01,monetary_unit.n.01
kurus	disorder.n.01,nervous_disorder.n.01
germ_pore	stoma.n.01,aperture.n.02
Theodore_Francis_Powys	writer.n.01,communicator.n.01
Robert_Gray	explorer.n.01,navigator.n.03
sleaziness	unrighteousness.n.01,dishonorableness.n.01
sleaziness	quality.n.01,inelegance.n.01
African_American_English	american_english.n.01,english.n.01
Edward_II	king_of_england.n.01,king.n.01
AMD	degeneration.n.01,macular_degeneration.n.01,eye_disease.n.01
identification_particle	atom.n.02,material.n.01
Pius_IX	pope.n.01,catholic.n.01,spiritual_leader.n.01
Aeolian	european.n.01,greek.n.02
Aeolian	group.n.01,citizenry.n.01
hexadecimal_digit	digit.n.01,integer.n.01
Saint_James	apostle.n.03,disciple.n.01,christian.n.01
Saint_James	saint.n.01,deity.n.01
Weser_River	stream.n.01,river.n.01
marginalia	note.n.01,written_record.n.01
iterative	aspect.n.04,grammatical_relation.n.01
Pb	chemical_element.n.01,metallic_element.n.01
Pb	computer_memory_unit.n.01,unit_of_measurement.n.01
bird_feed	feed.n.01,food.n.01
Cheviot_Hills	hill.n.01,natural_elevation.n.01
radiobiologist	scientist.n.01,biologist.n.01
Lake_Powell	reservoir.n.02,lake.n.01
kachina	dancer.n.01,performer.n.01
kachina	spirit.n.04,spiritual_being.n.01
kachina	doll.n.01,plaything.n.01
cardinality	definite_quantity.n.01,number.n.02
hemodynamics	physiology.n.01,biology.n.01
Invincible_Armada	armada.n.01,fleet.n.04
Trablous	city.n.01,municipality.n.01
Trablous	geographic_point.n.01,port.n.01
Ellsworth	judge.n.01,chief_justice.n.01
pound_sign	signal.n.01,symbol.n.01
Genevan	swiss.n.01,nation.n.02
Genevan	necessitarian.n.01,philosopher.n.01
microflora	organism.n.01,plant.n.02,microorganism.n.01
Hugo_Grotius	official.n.01,diplomat.n.01
Hugo_Grotius	jurist.n.01,expert.n.01
Brownie	girl_scout.n.01,scout.n.02
Brownie	fairy.n.01,spiritual_being.n.01
Brownie	cookie.n.01,cake.n.03
foryml	group.n.02,acyl.n.01
Akaba	city.n.01,municipality.n.01
Steiner	scholar.n.01,philosopher.n.01
reorder	commercial_document.n.01,order.n.07
Gerard_Peter_Kuiper	astronomer.n.01,physicist.n.01
genus_Phocoena	mammal_genus.n.01,genus.n.02
Yorktown	village.n.02,settlement.n.06
Yorktown	siege.n.01,blockade.n.01
pocketbook_issue	issue.n.01,content.n.05
splenius	muscle.n.01,skeletal_muscle.n.01
Avignon	town.n.01,municipality.n.01
ultimate	quality.n.01,attribute.n.02
deflationary_spiral	spiral.n.03,economic_process.n.01
prehensor	leg.n.02,limb.n.01
Internet_Explorer	browser.n.02,application.n.04
senior_master_sergeant	noncommissioned_officer.n.01,sergeant.n.01
insertional_mutagenesis	cause.n.01,mutagenesis.n.01
great	person.n.01,achiever.n.01
Pamir_Mountains	range.n.04,geological_formation.n.01
Maltese_cat	domestic_cat.n.01,cat.n.01,domestic_animal.n.01
anti	causal_agent.n.01,person.n.01,organism.n.01
vroom	happening.n.01,sound.n.04
Gaius_Aurelius_Valerius_Diocletian	emperor.n.01,roman_emperor.n.01
Queensland_lungfish	endangered_species.n.01,species.n.01
bowdlerizer	skilled_worker.n.01,editor.n.01
Anglicization	assimilation.n.02,social_process.n.01
Willis	neurologist.n.01,specialist.n.02
eastern_grey_squirrel	squirrel.n.01,tree_squirrel.n.01
Lake_Albert_Nyanza	body_of_water.n.01,lake.n.01
stupa	place_of_worship.n.01,shrine.n.01
arccosecant	function.n.01,trigonometric_function.n.01
Gallicanism	religious_movement.n.01,movement.n.04
directed_study	course.n.01,education.n.01
sensory_deprivation	persecution.n.01,torture.n.05
Elias_Howe	inventor.n.01,creator.n.02
diriment_impediment	difficulty.n.02,hindrance.n.01
antigenic_determinant	position.n.01,site.n.02
kB	computer_memory_unit.n.01,unit_of_measurement.n.01
St._Polycarp	martyr.n.02,victim.n.01
blogger	causal_agent.n.01,person.n.01,organism.n.01
Payne's_gray	coloring_material.n.01,pigment.n.01
Little_Red_Riding_Hood	imaginary_being.n.01,fictional_character.n.01
corn_stalk	stalk.n.02,plant_organ.n.01
Loire_Valley	valley.n.01,natural_depression.n.01
Newgate	correctional_institution.n.01,prison.n.01
fuschia	purplish_red.n.01,red.n.01
macho	male.n.02,person.n.01
interstate_highway	highway.n.01,road.n.01
Morrison_R._Waite	judge.n.01,chief_justice.n.01
paleographist	anthropologist.n.01,archeologist.n.01
carbineer	rifleman.n.02,soldier.n.01
Lake_Constance	body_of_water.n.01,lake.n.01
Rappahannock	stream.n.01,river.n.01
sextillion	large_integer.n.01,integer.n.01
Ms	disease.n.01,autoimmune_disease.n.01
Ms	degenerative_disorder.n.01,disorder.n.01
Ms	sclerosis.n.01,pathology.n.02
Ms	state.n.01,american_state.n.01
Ms	master's_degree.n.01,academic_degree.n.01
Ms	writing.n.02,written_communication.n.01
Ms	appellation.n.01,title.n.06
Ms	metric_linear_unit.n.01,computer_memory_unit.n.01,linear_unit.n.01,metric_unit.n.01,unit_of_measurement.n.01
Ms	property.n.02,concentration.n.01
Ms	large_integer.n.01,integer.n.01
Ms	letter.n.02,character.n.08
Vernier	mathematician.n.01,scientist.n.01
Vernier	scale.n.08,indicator.n.03
Saint_Polycarp	martyr.n.02,victim.n.01
Rosa_Ponselle	soprano.n.01,singer.n.01
Mitterrand	statesman.n.01,politician.n.02
drusen	eye_disease.n.01,disease.n.01
greyback	confederate.n.01,confederate_soldier.n.01,soldier.n.01
greyback	shorebird.n.01,sandpiper.n.01,snipe.n.01,dowitcher.n.01
Hmong	asian.n.01,person_of_color.n.01,inhabitant.n.01
Hmong	natural_language.n.01,language.n.01
tourtiere	meat_pie.n.01,pie.n.01
Tyke	english_person.n.01,britisher.n.01
Tyke	person.n.01,unpleasant_person.n.01,juvenile.n.01,unwelcome_person.n.01
John_XXIII	pope.n.01,catholic.n.01,spiritual_leader.n.01
nude_sculpture	sculpture.n.01,statue.n.01
wurtzite	mineral.n.01,material.n.01
osteologer	anatomist.n.01,expert.n.01
schnorrer	beggar.n.01,moocher.n.01
East_Indian	asian.n.01,person_of_color.n.01,inhabitant.n.01
postdiluvian	living_thing.n.01,organism.n.01
habitability	fitness.n.01,suitability.n.01
inosine	nucleoside.n.01,glycoside.n.01
Cynoscephalae	location.n.01,region.n.01
Cynoscephalae	battle.n.01,pitched_battle.n.01
Grecian	european.n.01,inhabitant.n.01
knee-hi	stocking.n.01,sock.n.01,hosiery.n.01
bouffant	hairdo.n.01,hair.n.01
Battle_of_Naseby	battle.n.01,pitched_battle.n.01
jillion	large_indefinite_quantity.n.01,indefinite_quantity.n.01
indigenous_language	language.n.01,communication.n.02
Second_Lateran_Council	council.n.02,lateran_council.n.01
Darfur	district.n.01,region.n.03
atomic_number_116	substance.n.01,chemical_element.n.01
tiptop	state.n.02,degree.n.02
tiptop	side.n.04,top.n.02
Nisei	american.n.01,inhabitant.n.01
remise	carriage.n.02,hackney.n.01
remise	building.n.01,outbuilding.n.01
remise	blow.n.01,stab.n.02
Tamil_Eelam	political_unit.n.01,state.n.04
tetrodotoxin	neurotoxin.n.01,toxin.n.01
creepiness	touch.n.10,perception.n.03
epideictic_oratory	oratory.n.01,address.n.03
theremin	musical_instrument.n.01,electronic_instrument.n.01
Lake_Edward	body_of_water.n.01,lake.n.01
Quincke's_edema	swelling.n.01,edema.n.01
arthropathy	ill_health.n.01,pathology.n.02
proportional_tax	tax.n.01,levy.n.01
equatorial	telescope.n.01,magnifier.n.01
Niobe	mythical_being.n.01,imaginary_being.n.01
DDI	antiviral.n.01,medicine.n.02
ecumenical_council	council.n.02,assembly.n.04
storybook	book.n.01,publication.n.01
Carpentaria	australia.n.02
Carpentaria	gulf.n.01,body_of_water.n.01
bellicoseness	disagreeableness.n.02,aggressiveness.n.03
primary_colour	color.n.01,visual_property.n.01
New_Mexican	american.n.01,inhabitant.n.01
Papal_States	district.n.01,region.n.03
Castilian	romance.n.03,spanish.n.01
Florentine	european.n.01,italian.n.01
Chancellorsville	village.n.02,settlement.n.06
Chancellorsville	battle.n.01,pitched_battle.n.01
proteosome	immunogen.n.01,vaccine.n.01
Charles_II	holy_roman_emperor.n.01,emperor.n.01
Charles_II	king_of_england.n.01,king.n.01,king_of_france.n.01
GI_hormones	hormone.n.01,secretion.n.02
Waldenses	sect.n.01,religion.n.02
Glen_Canyon_Dam	barrier.n.01,dam.n.01
AAVE	american_english.n.01,english.n.01
like	kind.n.01,category.n.02
Moron	simpleton.n.01,person.n.01
Moron	city.n.01,municipality.n.01
planned_community	district.n.01,residential_district.n.01
metalhead	follower.n.01,fan.n.03
toll_bridge	structure.n.01,bridge.n.01
Sooner	american.n.01,inhabitant.n.01
bluenose	canadian.n.01,north_american.n.01
Wagram	town.n.01,municipality.n.01
Wagram	battle.n.01,pitched_battle.n.01
nonresident	causal_agent.n.01,person.n.01,organism.n.01
Scheol	imagination.n.01,imaginary_place.n.01
philogyny	liking.n.01,admiration.n.01
Theodosius_the_Great	emperor.n.01,roman_emperor.n.01
element_108	substance.n.01,chemical_element.n.01
totemist	causal_agent.n.01,person.n.01,organism.n.01
ununtrium	substance.n.01,chemical_element.n.01
Flodden	hill.n.01,natural_elevation.n.01
Flodden	battle.n.01,pitched_battle.n.01
GiB	computer_memory_unit.n.01,unit_of_measurement.n.01
GiB	domestic_cat.n.01,tom.n.02
monoculture	cultivation.n.02,culture.n.07
An_Nefud	biome.n.01,desert.n.01,tract.n.01
Sanhedrin	council.n.01,administrative_unit.n.01
turn_of_expression	communication.n.02,expressive_style.n.01
Theodosius_I	emperor.n.01,roman_emperor.n.01
Buchenwald	camp.n.05,concentration_camp.n.01
visually_impaired_person	causal_agent.n.01,person.n.01,organism.n.01
bathometer	measuring_instrument.n.01,instrument.n.01
bandoneon	free-reed_instrument.n.01,concertina.n.02
Segway_HT	device.n.01,electrical_device.n.01
generative_grammar	grammar.n.01,syntax.n.03
Neapolitan	european.n.01,italian.n.01
reflectiveness	thoughtfulness.n.03,trait.n.01
segue	passage.n.01,change_of_state.n.01
cold_cathode	electrode.n.01,cathode.n.01
O_level	rank.n.02,grade.n.02
gynarchy	political_system.n.01,social_group.n.01
Great_Sandy_Desert	biome.n.01,desert.n.01,tract.n.01
sleep_deprivation	persecution.n.01,torture.n.05
saute	nutriment.n.01,dish.n.02
Gargantua	imagination.n.01,imaginary_being.n.01
Lakota	sioux.n.01,plains_indian.n.01
Fredericksburg	town.n.01,municipality.n.01
Fredericksburg	battle.n.01,pitched_battle.n.01
iterative_aspect	aspect.n.04,grammatical_relation.n.01
battle_of_Saratoga	battle.n.01,pitched_battle.n.01
Bolingbroke	king_of_england.n.01,king.n.01
histocompatibility_complex	class.n.01,collection.n.01
Cambrian_Mountains	highland.n.01,tableland.n.01
cappuccino_coffee	beverage.n.01,coffee.n.01
Veterans_Day	holiday.n.02,legal_holiday.n.01
Qin_Shi_Huang_Ti	emperor.n.01,sovereign.n.01
subtotal	sum.n.02,quantity.n.03
court_of_justice	court.n.01,assembly.n.04
LXXVIII	large_integer.n.01,integer.n.01
flat_panel_display	display.n.06,electronic_device.n.01
Charles_I	king.n.01,sovereign.n.01,holy_roman_emperor.n.01,emperor.n.01,king_of_england.n.01,king_of_france.n.01,carolingian.n.01
zebibyte	computer_memory_unit.n.01,unit_of_measurement.n.01
graylag_goose	anseriform_bird.n.01,goose.n.01
grey_poplar	poplar.n.02,angiospermous_tree.n.01
corkboard	building_material.n.01,insulating_material.n.01
equilateral	shape.n.02,figure.n.06
pinole	meal.n.03,foodstuff.n.02
valgus	affliction.n.02,deformity.n.01
National_Geospatial-Intelligence_Agency	administrative_unit.n.01,agency.n.01
adesite	rock.n.02,igneous_rock.n.01
Prince_Charles	prince.n.01,prince_of_wales.n.01
episcopacy	group.n.01,people.n.01
Ida_M._Tarbell	writer.n.01,communicator.n.01
ankus	device.n.01,prod.n.02
Eglevsky	dancer.n.01,ballet_dancer.n.01
ignition_interlock	device.n.01,instrumentality.n.03
learning_curve	graph.n.01,visual_communication.n.01
bookbindery	workshop.n.01,workplace.n.01
Aleppo	city.n.01,municipality.n.01
echo_chamber	enclosure.n.01,area.n.05
B-scan_ultrasonography	sonography.n.01,prenatal_diagnosis.n.01,imaging.n.02
comprehensive_examination	communication.n.01,examination.n.02
ambulant_plague	bubonic_plague.n.01,plague.n.01
pole_bean	bean.n.03,legume.n.01
septectomy	ablation.n.01,operation.n.06
myotic_drug	drug.n.01,agent.n.03
ZB	computer_memory_unit.n.01,unit_of_measurement.n.01
Jacques_Alexandre_Cesar_Charles	scientist.n.01,physicist.n.01
zalcitabine	antiviral.n.01,medicine.n.02
Sciurus_griseus	squirrel.n.01,tree_squirrel.n.01
North	location.n.01,object.n.01,region.n.03,geographical_area.n.01
North	united_states.n.01
North	position.n.07,direction.n.02,compass_point.n.01,cardinal_compass_point.n.01
North	statesman.n.01,politician.n.02
tax-exempt_security	legal_document.n.01,security.n.04
Tarabulus_Ash-Sham	city.n.01,municipality.n.01
Tarabulus_Ash-Sham	geographic_point.n.01,port.n.01
striate_cortex	area.n.03,cortical_area.n.01
shlep	simpleton.n.01,person.n.01
shlep	travel.n.01,journey.n.01
geordie	english_person.n.01,britisher.n.01
geordie	west_germanic.n.01,english.n.01
Charles_Hard_Townes	scientist.n.01,physicist.n.01
swale	trough.n.01,natural_depression.n.01
dusky-footed_wood_rat	rodent.n.01,wood_rat.n.01
northwestward	direction.n.02,compass_point.n.01
Conservative	person.n.01,adult.n.01
Conservative	associate.n.01,member.n.01
symphonist	musician.n.02,composer.n.01
totalitarian	follower.n.01,disciple.n.01
no-trump	contract.n.03,bridge.n.05
Eck	scholar.n.01,theologian.n.01
element_110	substance.n.01,chemical_element.n.01
Tycho_Brahe	astronomer.n.01,physicist.n.01
Doppler_radar	measuring_instrument.n.01,radar.n.01
wind_chime	decoration.n.01,artifact.n.01
Coeur_d'Alene	indian.n.01,amerindian.n.01
Coeur_d'Alene	town.n.01,municipality.n.01
cardholder	holder.n.02,owner.n.02
cardholder	player.n.01,card_player.n.01
Hildebrand	pope.n.01,catholic.n.01,spiritual_leader.n.01
Henry_Bolingbroke	king_of_england.n.01,king.n.01
colourcast	broadcast.n.02,television_program.n.01
San_Juan_Hill	hill.n.01,natural_elevation.n.01
Hakka	asian.n.01,chinese.n.02
Hakka	chinese.n.01,sinitic.n.01
piggyback	transportation.n.02,carry.n.01
Black_Rock_Desert	biome.n.01,desert.n.01,tract.n.01
reverse_osmosis	osmosis.n.01,diffusion.n.01
broadcasting_station	station.n.01,facility.n.01
Tunguska	stream.n.01,river.n.01
element_112	substance.n.01,chemical_element.n.01
Daniel_Patrick_Moynihan	professional.n.01,educator.n.01
Daniel_Patrick_Moynihan	leader.n.01,politician.n.02
John_Cash	musician.n.01,singer.n.01
bye-election	election.n.01,vote.n.02
dibs	claim.n.01,assertion.n.01
headwater	beginning.n.04,point.n.02
facial_hair	body_covering.n.01,hair.n.01
snowboarder	person.n.01,skidder.n.01
home_page	text_file.n.01,web_page.n.01
spininess	roughness.n.01,texture.n.01
ununhexium	substance.n.01,chemical_element.n.01
Turkestan_Desert	biome.n.01,desert.n.01,tract.n.01
brain_edema	swelling.n.01,edema.n.01
rancidity	decay.n.04,unsoundness.n.01
dyslectic	causal_agent.n.01,person.n.01,organism.n.01
Karen_Horney	specialist.n.02,psychiatrist.n.01
Battle_of_Waterloo	battle.n.01,pitched_battle.n.01
Petersburg_Campaign	campaign.n.03,operation.n.05
Petersburg_Campaign	siege.n.01,blockade.n.01
monofocal_lens_implant	lens_implant.n.01,implant.n.01
Transcaucasia	region.n.03,geographical_area.n.01
post-maturity	state.n.02,maturity.n.02
Av	calendar_month.n.01,jewish_calendar_month.n.01
hypothetical	hypothesis.n.02,concept.n.01
Battle_of_Flodden_Field	battle.n.01,pitched_battle.n.01
siamese_connection	intake.n.02,opening.n.10
Chu_Kiang	stream.n.01,river.n.01
chlorophyll_d	chlorophyll.n.01,pigment.n.01
one-sixteenth	fraction.n.03,common_fraction.n.01
toilet_training	activity.n.01,training.n.01
inverse_secant	function.n.01,trigonometric_function.n.01
Mount_Garmo	peak.n.04,mountain_peak.n.01
playmaker	player.n.01,contestant.n.01
nightlife	diversion.n.01,entertainment.n.01,activity.n.01
buffer_zone	zone.n.03,region.n.01
dance_master	dancer.n.01,performer.n.01
dance_master	teacher.n.01,educator.n.01
Ferdinand	king.n.01,sovereign.n.01
alcalde	official.n.01,judge.n.01,adjudicator.n.01
alcalde	politician.n.01,civil_authority.n.01,mayor.n.01
Petersburg	town.n.01,municipality.n.01
Petersburg	campaign.n.03,operation.n.05
Petersburg	siege.n.01,blockade.n.01
epitope	position.n.01,site.n.02
Al_Aqabah	city.n.01,municipality.n.01
co-discoverer	finder.n.02,perceiver.n.01
Inland_Passage	body_of_water.n.01,waterway.n.01
Gustavus	king.n.01,sovereign.n.01
John_Cowper_Powys	writer.n.01,communicator.n.01
turnbuckle	coupling.n.02,mechanical_device.n.01
suction_cup	device.n.01,instrumentality.n.03
marching_band	band.n.02,musical_organization.n.01
arthrodesis	arthroplasty.n.01,operation.n.06
asininity	trait.n.01,folly.n.01
Lake_Urmia	body_of_water.n.01,lake.n.01
Manx_cat	domestic_cat.n.01,cat.n.01,domestic_animal.n.01
Populus_canescens	poplar.n.02,angiospermous_tree.n.01
Urmia	body_of_water.n.01,lake.n.01
Urmia	city.n.01,municipality.n.01
virilism	feature.n.01,sex_characteristic.n.01
Cardura	medicine.n.02,antihypertensive.n.01
the_Pamirs	range.n.04,geological_formation.n.01
Harris	linguist.n.02,person.n.01,writer.n.01,communicator.n.01
Harris	official.n.01,diplomat.n.01
Harris	general.n.01,marshal.n.02,general_officer.n.01,commissioned_military_officer.n.01
Harris	publisher.n.03,owner.n.01
Aqaba	city.n.01,municipality.n.01
Abkhas	white.n.01,circassian.n.01
Abkhas	circassian.n.02,community.n.01
Pitot	scientist.n.01,physicist.n.01
Pitot	measuring_instrument.n.01,instrument.n.01
Guillaume_de_Grimoard	pope.n.01,catholic.n.01,spiritual_leader.n.01
Grand_River	stream.n.01,river.n.01
craniology	life_science.n.01,natural_science.n.01
herbarium	group.n.01,collection.n.01
malacologist	zoologist.n.01,biologist.n.01
venture_capitalism	capitalism.n.01,market_economy.n.01
satinet	fabric.n.01,artifact.n.01
the_halt	disabled.n.01,people.n.01
jail_bird	principal.n.05,criminal.n.01
directional_microphone	electro-acoustic_transducer.n.01,microphone.n.01
voicemail	telephone.n.02,telecommunication.n.01
Breed's_Hill	hill.n.01,natural_elevation.n.01
doxazosin	medicine.n.02,antihypertensive.n.01
exabit	computer_memory_unit.n.01,unit_of_measurement.n.01
Serengeti_National_Park	national_park.n.01,park.n.01
Betula_populifolia	tree.n.01,birch.n.02
catheterization	medical_procedure.n.01,operation.n.06
British_East_Africa	district.n.01,region.n.03
Coahuila	administrative_district.n.01,state.n.01
tebibit	computer_memory_unit.n.01,unit_of_measurement.n.01
Caloosahatchee_River	stream.n.01,river.n.01
turn_of_phrase	communication.n.02,expressive_style.n.01
IED	explosive_device.n.01,device.n.01
Messiah	savior.n.02,benefactor.n.01
Messiah	son.n.02
Messiah	king.n.01,sovereign.n.01
Messiah	cantata.n.01,classical_music.n.01
soil_conditioner	chemical.n.01,material.n.01
cheapjack	peddler.n.01,seller.n.01
Salmon_Portland_Chase	judge.n.01,chief_justice.n.01
Salmon_Portland_Chase	leader.n.01,politician.n.02
graphology	discipline.n.01,knowledge_domain.n.01
polder	land.n.02,object.n.01
Waite	judge.n.01,chief_justice.n.01
semi-skimmed_milk	milk.n.01,dairy_product.n.01,beverage.n.01
clippety-clop	happening.n.01,sound.n.04
George_F._Kennan	official.n.01,diplomat.n.01
barrater	bad_person.n.01,wrongdoer.n.01
dorsal_horn	nerve.n.01,sensory_nerve.n.01
invariant	property.n.04,feature.n.01
snow_chain	ligament.n.02,chain.n.03
Indiana	state.n.01,american_state.n.01
Indiana	artist.n.01,creator.n.02
Machiavellian	follower.n.01,person.n.01
mustard_oil	lipid.n.01,oil.n.01
Solidago_nemoralis	wildflower.n.01,goldenrod.n.01
legal_blindness	blindness.n.01,visual_impairment.n.01
divine_right	belief.n.01,doctrine.n.01
heliometer	measuring_instrument.n.01,instrument.n.01
sanguine	chromatic_color.n.01,red.n.01
covariation	variation.n.07,process.n.06
atomic_number_113	substance.n.01,chemical_element.n.01
botanical	drug.n.01,agent.n.03
contextualism	belief.n.01,doctrine.n.01
Euclid's_axiom	proposition.n.01,axiom.n.02
dark_comedy	drama.n.03,comedy.n.01
orb-weaving_spider	arachnid.n.01,spider.n.01
azurite	mineral.n.01,malachite.n.01
Dasht-e-Lut	biome.n.01,desert.n.01,tract.n.01
degressive_tax	tax.n.01,levy.n.01
tope	place_of_worship.n.01,shrine.n.01
St._Gregory_I	doctor_of_the_church.n.01,theologian.n.01
St._Gregory_I	pope.n.01,catholic.n.01,spiritual_leader.n.01
St._Gregory_I	saint.n.01,deity.n.01
religionism	intolerance.n.02,attitude.n.01
religionism	piety.n.01,devoutness.n.01
assenter	respondent.n.02,communicator.n.01
Rub_al-Khali	biome.n.01,desert.n.01,tract.n.01
conjugal_right	legal_right.n.01,right.n.01
face_time	work_time.n.01,time_period.n.01
computer_monitor	monitor.n.04,display.n.06
gazillion	large_indefinite_quantity.n.01,indefinite_quantity.n.01
Nova_Lisboa	city.n.01,municipality.n.01
anthroposophy	system.n.04,method.n.01
homeotherm	animal.n.01,organism.n.01
single_combat	conflict.n.01,fight.n.02
Dimash	city.n.01,national_capital.n.01,capital.n.03
Toyonaki	city.n.01,municipality.n.01
voice_mail	telephone.n.02,telecommunication.n.01
dancing-master	dancer.n.01,performer.n.01
dancing-master	teacher.n.01,educator.n.01
Julia_Ward_Howe	advocate.n.01,suffragist.n.01
CFTR	mutant_gene.n.01,gene.n.01
ethylenediaminetetraacetic_acid	unit.n.05,molecule.n.01
brooklet	brook.n.01,stream.n.01
Lake_Nyasa	body_of_water.n.01,lake.n.01
Pistacia_lentiscus	woody_plant.n.01,shrub.n.01
arctangent	function.n.01,trigonometric_function.n.01
slipskin_grape	edible_fruit.n.01,grape.n.01
arctan	function.n.01,trigonometric_function.n.01
spelter	zinc.n.01,metallic_element.n.01
force_out	putout.n.01,out.n.01
Arabian_Desert	biome.n.01,desert.n.01,tract.n.01
Coeur_d'Alene_Lake	body_of_water.n.01,lake.n.01
mongoloid	asian.n.01,person_of_color.n.01,inhabitant.n.01
mongoloid	simpleton.n.01,idiot.n.01
ornamentalism	activity.n.01,practice.n.01
ogee	cyma.n.01,molding.n.02
Forth	stream.n.01,river.n.01
24-karat_gold	noble_metal.n.01,gold.n.03
clop	happening.n.01,sound.n.04
episcopate	term.n.02,tenure.n.01
episcopate	district.n.01,jurisdiction.n.02
episcopate	group.n.01,people.n.01
episcopate	occupation.n.01,position.n.06
heads-up	informing.n.02,warning.n.01
Myrrhis_odorata	herb.n.01,vascular_plant.n.01
Cross-Florida_Waterway	body_of_water.n.01,waterway.n.01
Altace	ace_inhibitor.n.01,antihypertensive.n.01
peradventure	doubt.n.01,cognitive_state.n.01
probiotic_microflora	microorganism.n.01,bacteria.n.01
fishing_expedition	inquiry.n.01,probe.n.01
Maximian	emperor.n.01,roman_emperor.n.01
Town	administrative_district.n.01,district.n.01,urban_area.n.01,municipality.n.01
Town	municipality.n.02,gathering.n.01
Town	architect.n.01,creator.n.02
cow_town	town.n.01,municipality.n.01
Edward_Antony_Richard_Louis	aristocrat.n.01,prince.n.01
Quechuan	natural_language.n.01,amerind.n.01
Jessica_Tandy	actress.n.01,actor.n.01
gun_pendulum	physical_pendulum.n.01,ballistic_pendulum.n.01
Slo-Bid	bronchodilator.n.01,medicine.n.02
Arnold_of_Brescia	scholar.n.01,theologian.n.01
homoiotherm	animal.n.01,organism.n.01
the_Flood	geological_phenomenon.n.01,flood.n.01
PB	chemical_element.n.01,metallic_element.n.01
PB	computer_memory_unit.n.01,unit_of_measurement.n.01
Salix_cinerea	tree.n.01,willow.n.01
desipramine	antidepressant.n.01,tricyclic.n.01
Cadmus	imagination.n.01,imaginary_being.n.01
Rutledge	judge.n.01,chief_justice.n.01
sleepwear	consumer_goods.n.01,clothing.n.01,covering.n.02
arcsine	function.n.01,trigonometric_function.n.01
Scleropages	fish_genus.n.01,genus.n.02
baggage_claim	structure.n.01,area.n.05
blastodermic_vessicle	embryo.n.02,blastula.n.01
asyndeton	rhetorical_device.n.01,device.n.02
snap-brim_hat	headdress.n.01,hat.n.01
fair-trade_act	act.n.01,legislative_act.n.01
grey_market	market.n.01,activity.n.01
San_Bernardino	city.n.01,municipality.n.01
diastema	opening.n.01,space.n.02
